Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
ParallelMdcDispatchPassSetup,12948,787.708151,0.304482,1.154807,1.154808,0.000001,17.592365,17.592367,0.000002,0.000000,0.001849,0.000024,0.000060,
Render Audio,693,41.661229,0.288605,0.950642,0.950950,0.000308,17.584690,17.584813,0.000123,0.000007,0.003050,0.000416,0.000348,
FEngineLoop::Init,2,14.101389,0.283668,0.915898,1.057727,0.141829,0.915889,1.057728,0.141839,0.141829,0.141839,0.141834,0.000007,
Add To History,992,57.695729,0.281716,0.419229,0.419234,0.000005,17.612473,17.612876,0.000403,0.000003,0.002705,0.000284,0.000131,
BP_FirstPersonPlayerController_C,992,59.659319,0.275287,0.987772,0.987777,0.000005,17.615207,17.615518,0.000311,0.000005,0.004888,0.000278,0.000196,
PlayerController Tick,990,60.103790,0.272567,1.144011,1.148897,0.004886,17.615208,17.615518,0.000310,0.000078,0.004886,0.000275,0.000195,
PC Tick Actor,990,60.103794,0.271121,1.144012,1.148897,0.004885,17.615209,17.615518,0.000309,0.000078,0.004885,0.000274,0.000195,
DeleteSceneRenderer,996,60.567735,0.270837,1.154440,1.154509,0.000069,17.598299,17.598839,0.000540,0.000053,0.002967,0.000272,0.000155,
STAT_FRHICommandUpdateBuffer_Execute,12921,777.170565,0.270118,0.979004,0.979028,0.000024,17.604697,17.604698,0.000001,0.000000,0.005981,0.000021,0.000068,
UWorld_SendAllEndOfFrameUpdates,993,59.902708,0.268015,1.042214,1.042509,0.000295,17.618896,17.619094,0.000198,0.000015,0.003741,0.000270,0.000145,
Post Tick Component Update,993,59.902711,0.267397,1.042215,1.042508,0.000293,17.618896,17.619094,0.000198,0.000014,0.003740,0.000269,0.000145,
FEngineLoop::PreInitPreStartupScreen,1,3.796623,0.263392,0.393495,0.656887,0.263392,0.393495,0.656887,0.263392,0.263392,0.263392,0.263392,0.000000,
FEngineLoop::PreInitPostStartupScreen,1,3.863465,0.258835,0.656889,0.915724,0.258835,0.656889,0.915724,0.258835,0.258835,0.258835,0.258835,0.000000,
FEngineLoop::PreInitPostStartupScreen.AfterStats,1,3.863480,0.258834,0.656890,0.915724,0.258834,0.656890,0.915724,0.258834,0.258834,0.258834,0.258834,0.000000,
Evolution/Kinematic update and forces,991,60.176316,0.258619,1.149835,1.151126,0.001291,17.617845,17.618108,0.000263,0.000033,0.001551,0.000261,0.000145,
ParallelFor Task,2155,126.774527,0.255259,0.620321,0.620418,0.000097,17.618964,17.619004,0.000040,0.000000,0.015797,0.000118,0.000760,
TP_Weapon,2979,231.037620,0.254088,4.724999,4.725028,0.000029,17.618967,17.619003,0.000036,0.000000,0.000787,0.000085,0.000065,
PlayerTick,990,60.103852,0.252381,1.144019,1.148874,0.004855,17.615213,17.615509,0.000296,0.000072,0.004855,0.000255,0.000192,
FEngineLoop::PreInitPreStartupScreen.AfterStats,1,4.010475,0.249347,0.407537,0.656884,0.249347,0.407537,0.656884,0.249347,0.249347,0.249347,0.249347,0.000000,
FStats::AdvanceFrame,991,60.155115,0.246029,1.137171,1.137217,0.000046,17.611236,17.611248,0.000012,0.000007,0.001461,0.000248,0.000299,
FinishRenderViewTarget,990,59.916647,0.242250,1.069909,1.070533,0.000624,17.592716,17.592863,0.000147,0.000071,0.002736,0.000245,0.000103,
FirstPerson_AnimBP_C,1984,120.485140,0.241163,1.149069,1.149126,0.000057,17.615761,17.615830,0.000069,0.000030,0.001880,0.000122,0.000083,
FPBDRigidsEvolutionGBF::AdvanceOneTimeStep,990,60.115637,0.238669,1.149845,1.151124,0.001279,17.617906,17.618106,0.000200,0.000065,0.001514,0.000241,0.000139,
Acquire Backbuffer,1982,117.059849,0.236464,0.673472,0.673486,0.000014,17.604930,17.604982,0.000052,0.000014,0.005146,0.000119,0.000232,
PC Tick Input,990,60.103962,0.233604,1.144037,1.148862,0.004825,17.615213,17.615497,0.000284,0.000066,0.004825,0.000236,0.000186,
STAT_PostProcessing_Process,990,59.916777,0.230384,1.069945,1.070533,0.000588,17.592722,17.592863,0.000141,0.000068,0.002725,0.000233,0.000100,
SetupMeshPass,996,60.593377,0.223545,1.154801,1.154845,0.000044,17.592126,17.592241,0.000115,0.000018,0.002636,0.000224,0.000216,
FCompilePipelineStateTask,56,309.522230,0.223004,1.016160,1.016633,0.000473,1.196882,1.197084,0.000202,0.000071,0.059976,0.003982,0.010037,
RefreshBoneTransforms,1983,119.282077,0.217605,0.991434,0.991469,0.000035,17.615831,17.615893,0.000062,0.000006,0.001209,0.000110,0.000085,
Stat_DrawDebugCanvas,989,60.298679,0.207277,1.196919,1.197235,0.000316,17.598461,17.598605,0.000144,0.000076,0.001750,0.000210,0.000084,
TG_StartPhysics,991,60.136097,0.198484,1.138460,1.138462,0.000002,17.617658,17.617747,0.000089,0.000002,0.001252,0.000200,0.000116,
FSceneRenderer::BeginInitDynamicShadows,996,60.232264,0.196257,1.056159,1.056292,0.000133,17.592045,17.592147,0.000102,0.000021,0.000932,0.000197,0.000114,
Source Manager Update,693,41.661399,0.193932,0.950686,0.950699,0.000013,17.584701,17.584789,0.000088,0.000001,0.002919,0.000280,0.000268,
SK_FPGun,1982,153.714882,0.192838,4.725001,4.725027,0.000026,17.618968,17.619003,0.000035,0.000019,0.000785,0.000097,0.000070,
SetupShadowMeshPass,996,60.260190,0.186705,1.063980,1.064122,0.000142,17.592262,17.592305,0.000043,0.000010,0.001251,0.000187,0.000136,
Collect Resources,1988,119.605271,0.184524,0.977203,0.977209,0.000006,17.598527,17.598544,0.000017,0.000006,0.002304,0.000093,0.000095,
FRDGBuilder::CollectResources,1988,119.605286,0.183184,0.977204,0.977209,0.000005,17.598528,17.598543,0.000015,0.000005,0.002302,0.000092,0.000095,
STAT_UGameEngine_Tick_IStreamingManager,991,60.138648,0.182446,1.140892,1.141314,0.000422,17.619377,17.619480,0.000103,0.000055,0.001450,0.000184,0.000072,
Initial UObject load,1,5.482576,0.182396,0.665209,0.847605,0.182396,0.665209,0.847605,0.182396,0.182396,0.182396,0.182396,0.000000,
OcclusionCull,990,59.869068,0.181517,1.055679,1.055740,0.000061,17.591702,17.591764,0.000062,0.000037,0.001198,0.000183,0.000190,
ProcessNewlyLoadedUObjects,2,8.506512,0.179507,0.668047,0.847552,0.179505,0.903159,0.903161,0.000002,0.000002,0.179505,0.089754,0.126928,
FStreamingManagerCollection::UpdateResourceStreaming,991,60.138655,0.179203,1.140894,1.141314,0.000420,17.619379,17.619480,0.000101,0.000054,0.001446,0.000181,0.000071,
GatherShadowPrimitives,996,60.232312,0.179133,1.056172,1.056292,0.000120,17.592050,17.592147,0.000097,0.000018,0.000921,0.000180,0.000101,
AudioMixerThreadCommands::PumpCommandQueue,693,41.661426,0.166114,0.950688,0.950690,0.000002,17.584703,17.584780,0.000077,0.000000,0.002713,0.000240,0.000254,
Post Anim Evaluation,1983,119.270110,0.165172,0.991446,0.991468,0.000022,17.617499,17.617573,0.000074,0.000009,0.000742,0.000083,0.000048,
FCreateViewWithUninitializedBounds,3963,240.501569,0.164931,1.141408,1.141411,0.000003,17.619445,17.619471,0.000026,0.000001,0.001327,0.000042,0.000081,
After Occlusion Readback,2121,128.307502,0.164805,1.066260,1.066260,0.000000,17.596785,17.596860,0.000075,0.000000,0.001016,0.000078,0.000090,
ParallelMdcDispatchDraw,4980,301.362230,0.162634,1.072850,1.072923,0.000073,17.597813,17.597814,0.000001,0.000000,0.002520,0.000033,0.000049,
STAT_MeshPassDrawImmediate,3969,240.182808,0.158546,1.072856,1.072923,0.000067,17.597762,17.597769,0.000007,0.000002,0.002520,0.000040,0.000051,
Renderable Asset Streaming Game Thread Update Time,991,60.138703,0.156972,1.140898,1.141305,0.000407,17.619382,17.619471,0.000089,0.000046,0.001423,0.000158,0.000063,
SceneQueryTotal,3002,180.579293,0.156056,0.993181,0.993217,0.000036,17.617390,17.617457,0.000067,0.000001,0.004722,0.000052,0.000094,
FChaosAccelerationStructureTask,994,60.067105,0.151833,0.989561,0.989565,0.000004,17.537633,17.537720,0.000087,0.000000,0.001961,0.000153,0.000168,
Wait for GAndroidWindowLock.Lock(),1,6.648229,0.150416,0.242980,0.393396,0.150416,0.242980,0.393396,0.150416,0.150416,0.150416,0.150416,0.000000,
STAT_Vulkan_RHICreateComputePipelineState,11,183.940336,0.150255,1.072629,1.075314,0.002685,1.121825,1.132431,0.010606,0.002685,0.025782,0.013660,0.008792,
STAT_FAndroidMisc_UpdateDeviceOrientation,993,58.566743,0.148412,0.657368,0.657734,0.000366,17.611292,17.612383,0.001091,0.000035,0.002001,0.000149,0.000135,
STAT_VulkanComputePSOCreate,11,185.369306,0.148283,1.073079,1.075309,0.002230,1.121898,1.132420,0.010522,0.002230,0.025701,0.013480,0.008845,
Mine PSO: CreateComputePipeline,11,185.372430,0.148274,1.073079,1.075308,0.002229,1.121899,1.132419,0.010520,0.002229,0.025700,0.013479,0.008845,
STAT_FDynamicRHI_LockBuffer,14958,902.301139,0.147240,1.020974,1.020978,0.000004,17.598587,17.598588,0.000001,0.000000,0.001024,0.000010,0.000051,
UObjectLoadAllCompiledInDefaultProperties,1,7.045181,0.141941,0.705535,0.847476,0.141941,0.705535,0.847476,0.141941,0.141941,0.141941,0.141941,0.000000,
SkeletalComponentAnimEvaluate_WorkerThread,990,60.118565,0.141471,1.149132,1.149188,0.000056,17.615993,17.616591,0.000598,0.000040,0.001246,0.000143,0.000095,
STAT_SetupMeshDrawCommandsForShadowDepth,3984,241.041430,0.140408,1.064024,1.064030,0.000006,17.592297,17.592303,0.000006,0.000000,0.001128,0.000035,0.000069,
All Command List Execute,7342,433.027558,0.139882,0.643633,0.643673,0.000040,17.598671,17.598674,0.000003,0.000000,0.002283,0.000019,0.000042,
ProxyUpdateAnimation_WorkerThread,990,60.120540,0.136424,1.149068,1.149126,0.000058,17.615914,17.615986,0.000072,0.000036,0.001881,0.000138,0.000103,
CharMoveComp,991,59.621130,0.135416,0.995859,0.995877,0.000018,17.617350,17.617483,0.000133,0.000018,0.000798,0.000137,0.000066,
LaunchVisibilityTasks,996,60.230276,0.133466,1.054969,1.055014,0.000045,17.591440,17.591503,0.000063,0.000015,0.000797,0.000134,0.000091,
[Scene] - StartFrame,1980,120.230296,0.133218,1.149346,1.149357,0.000011,17.617682,17.617741,0.000059,0.000006,0.000958,0.000067,0.000072,
UCharacterMovementComponent_TickComponent,990,60.115462,0.133165,1.149174,1.149229,0.000055,17.617351,17.617483,0.000132,0.000045,0.000795,0.000135,0.000066,
Char Movement Total,990,60.115465,0.132266,1.149175,1.149229,0.000054,17.617352,17.617483,0.000131,0.000044,0.000794,0.000134,0.000066,
STAT_RHIMETHOD_LockBuffer_Malloc,12921,777.371621,0.131683,0.977194,0.977194,0.000000,17.598587,17.598588,0.000001,0.000000,0.001023,0.000010,0.000055,
Char Tick,990,60.115469,0.130499,1.149176,1.149229,0.000053,17.617353,17.617483,0.000130,0.000044,0.000792,0.000132,0.000065,
BlueprintUpdateAnimation,2972,180.484917,0.129349,1.149078,1.149082,0.000004,17.615786,17.615828,0.000042,0.000001,0.000679,0.000044,0.000041,
DeferredRenderUpdates,2057,124.090076,0.124853,1.042336,1.042342,0.000006,17.618964,17.619004,0.000040,0.000001,0.000563,0.000061,0.000031,
FinalizeAnimationUpdate,1983,119.270117,0.123707,0.991447,0.991468,0.000021,17.617538,17.617573,0.000035,0.000009,0.000739,0.000062,0.000053,
RHIEndTransitions,37771,2230.837820,0.120846,0.673408,0.673410,0.000002,17.604715,17.604715,0.000000,0.000000,0.001008,0.000003,0.000014,
